# INTERNAL / INTERMEDIATE -- full unmasked matrix, no min-support floor applied.
# The floor (config.MIN_SUPPORT) applies only to outputs/pairs_ranked.csv and the
# heatmaps. Do not publish or quote cells from this file directly.
,Children_Attending_Early_Childhood_Programs_Managed_by_DHS,Children_Receiving_Child_Welfare_Services,Children_Receiving_DHS_Funded_Out_of_School_Programs,Children_Receiving_Early_Intervention_Services,Children_in_Care,Families_Receiving_Child_Welfare_Services,Homeless_Population,Homicides,Individuals_Receiving_DHS_Services,Individuals_Receiving_Family_Strengthening_Programs,Individuals_Receiving_Homelessness_and_Housing_Services,Individuals_Receiving_Income_Supports,Individuals_Receiving_Intellectual_Disability_Services,Individuals_Receiving_Mental_Health_Services,Individuals_Receiving_Substance_Use_Disorder_Services,Involuntary_Commitments,Jail_Population,Mental_Health_Crises,Older_Adults_Receiving_Services,Overdoses,Parents_Receiving_Child_Welfare_Services,Suicides
Children_Attending_Early_Childhood_Programs_Managed_by_DHS,1.0,0.1518624641833811,0.06303724928366762,0.03151862464183381,0.05157593123209169,0.0,0.0057306590257879654,0.0,0.04297994269340974,0.10315186246418338,0.014326647564469915,0.4670487106017192,0.0057306590257879654,0.02865329512893983,0.0,0.0028653295128939827,0.0,0.0,0.0,0.0,0.0,0.0
Children_Receiving_Child_Welfare_Services,0.007254311524774158,1.0,0.031480974541472764,0.0897892143443745,0.3026279770052012,0.0023268546400219,0.021215439364905556,0.0001368738023542294,0.38529975362715574,0.07623870791130577,0.06994251300301123,0.8974815220366822,0.01642485628250753,0.275663837941418,0.005064330687106488,0.007254311524774158,0.0012318642211880647,0.03421845058855735,0.0,0.0004106214070626882,0.003969340268272652,0.0002737476047084588
Children_Receiving_DHS_Funded_Out_of_School_Programs,0.018363939899833055,0.19198664440734559,1.0,0.008347245409015025,0.0651085141903172,0.0025041736227045075,0.011686143572621035,0.001669449081803005,0.24373956594323873,0.037562604340567615,0.035058430717863104,0.5776293823038398,0.007512520868113523,0.14440734557595994,0.004173622704507512,0.004173622704507512,0.0,0.009181969949916527,0.0,0.001669449081803005,0.0025041736227045075,0.0008347245409015025
Children_Receiving_Early_Intervention_Services,0.0016291469194312795,0.0971563981042654,0.001481042654028436,1.0,0.0648696682464455,0.000740521327014218,0.008145734597156399,0.0001481042654028436,0.1423281990521327,0.01481042654028436,0.019845971563981043,0.6369964454976303,0.0071090047393364926,0.11078199052132702,0.0,0.0035545023696682463,0.0,0.01110781990521327,0.0,0.0005924170616113745,0.0,0.0002962085308056872
Children_in_Care,0.008046490835940992,0.9883772910147519,0.0348681269557443,0.19579794367456416,1.0,0.001788109074653554,0.023692445239159587,0.0,0.5373267769333929,0.08270004470272686,0.07375949932945909,0.9472507822977202,0.0116227089852481,0.44747429593205185,0.0049172999552972736,0.013410818059901655,0.0,0.05587840858292356,0.0,0.0,0.003576218149307108,0.0
Families_Receiving_Child_Welfare_Services,0.0,0.005452212957023733,0.0009621552277100705,0.001603592046183451,0.0012828736369467607,1.0,0.012187299550994226,0.003848620910840282,0.49615137908915974,0.030788967286722257,0.1010262989095574,0.5888389993585632,0.007697241821680564,0.2193713919178961,0.15875561257216164,0.02052597819114817,0.03720333547145606,0.03431686978832585,0.010262989095574085,0.014432328415651058,0.7844772289929441,0.001603592046183451
Homeless_Population,0.0005856515373352855,0.04538799414348463,0.004099560761346999,0.016105417276720352,0.015519765739385067,0.011127379209370425,1.0,0.0,0.5344070278184481,0.01581259150805271,1.0,0.7979502196193266,0.00644216691068814,0.36808199121522694,0.12913616398243044,0.05534407027818448,0.06383601756954611,0.15666178623718888,0.024011713030746704,0.0029282576866764276,0.0363103953147877,0.0
Homicides,0.0,0.005813953488372093,0.011627906976744186,0.005813953488372093,0.0,0.06976744186046512,0.0,1.0,0.12209302325581395,0.005813953488372093,0.029069767441860465,0.6162790697674418,0.0,0.06395348837209303,0.01744186046511628,0.01744186046511628,0.03488372093023256,0.01744186046511628,0.01744186046511628,0.029069767441860465,0.08139534883720931,0.0
Individuals_Receiving_DHS_Services,0.00018265507415796012,0.03427826891697718,0.00355568544360829,0.011702101751053311,0.014636759942524537,0.01883782664815762,0.022223034022551814,0.00025571710382114415,1.0,0.019081366747034898,0.11899369231143908,0.9043618031708921,0.05472346021772485,0.6729378242127566,0.12629989527775748,0.06092155573415163,0.043751978763303376,0.08754048854143835,0.03424173790214559,0.0026911180925939457,0.051667031976814985,0.0001948320791018241
Individuals_Receiving_Family_Strengthening_Programs,0.012056262558606833,0.18653717347622237,0.01507032819825854,0.033489618218352314,0.061955793703951774,0.032150033489618215,0.01808439383791025,0.0003348961821835231,0.5247823174815807,1.0,0.11118553248492967,0.9363697253851306,0.014735432016075016,0.2756195579370395,0.06764902880107167,0.014400535833891493,0.019758874748827863,0.03114534494306765,0.01808439383791025,0.0010046885465505692,0.06764902880107167,0.0003348961821835231
Individuals_Receiving_Homelessness_and_Housing_Services,0.0002291160702011639,0.02341566237455895,0.0019245749896897768,0.006140310681391193,0.007560830316638409,0.014434312422673326,0.15648627594739495,0.0002291160702011639,0.44778444760115477,0.015213307061357284,1.0,0.7853182422215094,0.007515007102598176,0.22929936305732485,0.08436053704806855,0.022453374879714064,0.025156944508087798,0.04724373367548,0.018833340970535673,0.0028410392704944325,0.035696283737341336,0.0002749392842413967
Individuals_Receiving_Income_Supports,0.0003243587447515571,0.01304797723518994,0.0013770322169820708,0.008558693013352436,0.0042166636817702425,0.0036535132230911586,0.0054225618371042525,0.00021093268063598192,0.14778819174974628,0.005563846934511373,0.034103436610749605,1.0,0.012160468031759297,0.10031241915905519,0.0239647384235767,0.00725528824149802,0.00921338029570374,0.011030187252502339,0.010568523272242452,0.0008676098939366804,0.009398443873997572,0.0001313354426601397
Individuals_Receiving_Intellectual_Disability_Services,0.00031446540880503143,0.018867924528301886,0.0014150943396226414,0.007547169811320755,0.004088050314465409,0.0037735849056603774,0.003459119496855346,0.0,0.7066037735849057,0.006918238993710692,0.02578616352201258,0.9608490566037736,1.0,0.38333333333333336,0.021383647798742137,0.0220125786163522,0.020754716981132074,0.03710691823899371,0.021383647798742137,0.001729559748427673,0.014308176100628931,0.0
