A,B,shared,P(B|A),P(A|B),lift,containment_pct,below_fidelity_tier,proposed_class,reason,source,final_class,my_reason,note
Individuals_Receiving_Mental_Health_Services,Involuntary_Commitments,5002,0.09051264,0.998403194,9.64382365,0.998403194,False,REVIEW,behaves as containment (99.8% of the smaller service population) but is not in the [UG] indented list -- analyst judgment required,none -- not a listed nesting pair; the note rests on measured containment only,NOT_A_FINDING,,
Individuals_Receiving_DHS_Services,Individuals_Receiving_Substance_Use_Disorder_Services,10372,0.126299895,0.809553544,5.262157181,0.809553544,False,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,NOT_A_FINDING,,
Individuals_Receiving_DHS_Services,Individuals_Receiving_Intellectual_Disability_Services,4494,0.05472346,0.706603774,4.592976154,0.706603774,False,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,NOT_A_FINDING,,
Individuals_Receiving_Mental_Health_Services,Individuals_Receiving_Substance_Use_Disorder_Services,5278,0.09550694,0.41195754,3.979199877,0.41195754,False,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,INFORMATIVE,,
Individuals_Receiving_DHS_Services,Parents_Receiving_Child_Welfare_Services,4243,0.051667032,0.599463125,3.896554112,0.599463125,False,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,NOT_A_FINDING,,
Individuals_Receiving_DHS_Services,Jail_Population,3593,0.043751979,0.519069633,3.373990539,0.519069633,False,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,NOT_A_FINDING,,
Individuals_Receiving_DHS_Services,Individuals_Receiving_Homelessness_and_Housing_Services,9772,0.118993692,0.447784448,2.910631625,0.447784448,False,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,NOT_A_FINDING,,
Children_Receiving_Child_Welfare_Services,Individuals_Receiving_DHS_Services,2815,0.385299754,0.034278269,2.504476549,0.385299754,False,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,NOT_A_FINDING,,
Individuals_Receiving_Homelessness_and_Housing_Services,Individuals_Receiving_Mental_Health_Services,5004,0.229299363,0.09054883,2.214859322,0.229299363,False,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,INFORMATIVE,,
Individuals_Receiving_DHS_Services,Older_Adults_Receiving_Services,2812,0.034241738,0.167790441,1.090650125,0.167790441,False,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,NOT_A_FINDING,,
Individuals_Receiving_Income_Supports,Individuals_Receiving_Intellectual_Disability_Services,6111,0.012160468,0.960849057,1.020636112,0.960849057,False,REVIEW,behaves as containment (96.1% of the smaller service population) but is not in the [UG] indented list -- analyst judgment required,none -- not a listed nesting pair; the note rests on measured containment only,INFORMATIVE,,candidate real-world near-containment: 96.1% of ID clients receive income supports; above tier.
Individuals_Receiving_Income_Supports,Individuals_Receiving_Substance_Use_Disorder_Services,12043,0.023964738,0.939978145,0.998466547,0.939978145,False,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,NOT_A_FINDING,,
Individuals_Receiving_Family_Strengthening_Programs,Individuals_Receiving_Income_Supports,2796,0.936369725,0.005563847,0.9946336,0.936369725,False,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,NOT_A_FINDING,,
Individuals_Receiving_Income_Supports,Individuals_Receiving_Mental_Health_Services,50410,0.100312419,0.912183559,0.968942494,0.912183559,False,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,NOT_A_FINDING,,
Individuals_Receiving_DHS_Services,Individuals_Receiving_Income_Supports,74268,0.904361803,0.147788192,0.960634044,0.904361803,False,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,NOT_A_FINDING,,
Children_Receiving_Child_Welfare_Services,Individuals_Receiving_Income_Supports,6557,0.897481522,0.013047977,0.95332565,0.897481522,False,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,NOT_A_FINDING,,
Homeless_Population,Individuals_Receiving_Income_Supports,2725,0.79795022,0.005422562,0.847601197,0.79795022,False,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,NOT_A_FINDING,,
Individuals_Receiving_Homelessness_and_Housing_Services,Individuals_Receiving_Income_Supports,17138,0.785318242,0.034103437,0.834183218,0.785318242,False,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,NOT_A_FINDING,,
Individuals_Receiving_Income_Supports,Mental_Health_Crises,5543,0.011030187,0.765079365,0.812685014,0.765079365,False,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,NOT_A_FINDING,,
Individuals_Receiving_Income_Supports,Involuntary_Commitments,3646,0.007255288,0.727744511,0.773027067,0.727744511,False,REVIEW,no documented nesting relationship in documented_facts.md -- analyst classification required,none -- classification rests on the absence of a documented nesting relationship,NOT_A_FINDING,,
