A,B,shared,P(B|A),P(A|B),lift,containment_pct,below_fidelity_tier
Children_Receiving_Child_Welfare_Services,Children_in_Care,2211,0.3026279770052012,0.9883772910147519,72.21390768770648,0.9883772910147519,True
Families_Receiving_Child_Welfare_Services,Parents_Receiving_Child_Welfare_Services,2446,0.7844772289929441,0.34557784684939247,59.16263921435498,0.7844772289929441,True
Involuntary_Commitments,Mental_Health_Crises,2053,0.4097804391217565,0.28336783988957903,30.191910092857764,0.4097804391217565,True
Homeless_Population,Individuals_Receiving_Homelessness_and_Housing_Services,3415,1.0,0.15648627594739495,24.46038583146222,1.0,False
Children_Attending_Early_Childhood_Programs_Managed_by_DHS,Individuals_Receiving_Family_Strengthening_Programs,36,0.10315186246418338,0.012056262558606833,18.440174491466383,0.10315186246418338,True
Children_Receiving_DHS_Funded_Out_of_School_Programs,Children_in_Care,78,0.0651085141903172,0.0348681269557443,15.536370034097956,0.0651085141903172,True
Children_Receiving_Early_Intervention_Services,Children_in_Care,438,0.0648696682464455,0.19579794367456416,15.47937596794115,0.19579794367456416,True
Children_in_Care,Individuals_Receiving_Family_Strengthening_Programs,185,0.08270004470272686,0.061955793703951774,14.78405933096815,0.08270004470272686,True
Children_Receiving_Child_Welfare_Services,Children_Receiving_DHS_Funded_Out_of_School_Programs,230,0.031480974541472764,0.19198664440734559,14.02713917300803,0.19198664440734559,True
Children_Receiving_Child_Welfare_Services,Individuals_Receiving_Family_Strengthening_Programs,557,0.07623870791130577,0.18653717347622237,13.628983939834932,0.18653717347622237,True
Homeless_Population,Mental_Health_Crises,535,0.15666178623718888,0.0738440303657695,11.542567954675665,0.15666178623718888,True
Children_Attending_Early_Childhood_Programs_Managed_by_DHS,Children_Receiving_Child_Welfare_Services,53,0.1518624641833811,0.007254311524774158,11.095542228117251,0.1518624641833811,True
Individuals_Receiving_Substance_Use_Disorder_Services,Jail_Population,1676,0.13081486106774898,0.24212655301935856,10.087957530064047,0.24212655301935856,True
Individuals_Receiving_Mental_Health_Services,Involuntary_Commitments,5002,0.09051263955992256,0.9984031936127744,9.643823649590239,0.9984031936127744,False
Individuals_Receiving_Mental_Health_Services,Mental_Health_Crises,7185,0.13001465718473482,0.9917184265010351,9.579253828923983,0.9917184265010351,False
Individuals_Receiving_Substance_Use_Disorder_Services,Parents_Receiving_Child_Welfare_Services,1242,0.09694036840462067,0.17547329754167845,7.310917167846582,0.17547329754167845,True
Children_Receiving_Child_Welfare_Services,Children_Receiving_Early_Intervention_Services,656,0.0897892143443745,0.0971563981042654,7.098547515967529,0.0971563981042654,True
Children_Receiving_DHS_Funded_Out_of_School_Programs,Individuals_Receiving_Family_Strengthening_Programs,45,0.037562604340567615,0.01507032819825854,6.714963373874967,0.037562604340567615,True
Families_Receiving_Child_Welfare_Services,Individuals_Receiving_Substance_Use_Disorder_Services,495,0.15875561257216164,0.03863565407430534,6.6143917604907365,0.15875561257216164,True
Individuals_Receiving_DHS_Services,Individuals_Receiving_Mental_Health_Services,55263,0.6729378242127566,1.0,6.500073062029664,1.0,False
Individuals_Receiving_DHS_Services,Involuntary_Commitments,5003,0.06092155573415163,0.9986027944111776,6.490991123619642,0.9986027944111776,False
Individuals_Receiving_DHS_Services,Mental_Health_Crises,7189,0.08754048854143835,0.9922705314009662,6.449830951405279,0.9922705314009662,False
Homeless_Population,Involuntary_Commitments,189,0.05534407027818448,0.03772455089820359,5.896728417250418,0.05534407027818448,True
Families_Receiving_Child_Welfare_Services,Overdoses,45,0.014432328415651058,0.03411675511751327,5.840760027252554,0.03411675511751327,True
Families_Receiving_Child_Welfare_Services,Individuals_Receiving_Family_Strengthening_Programs,96,0.030788967286722257,0.032150033489618215,5.504058924542885,0.032150033489618215,True
Individuals_Receiving_Substance_Use_Disorder_Services,Mental_Health_Crises,947,0.07391507961286294,0.13071083505866116,5.445934517911197,0.13071083505866116,True
Homeless_Population,Individuals_Receiving_Substance_Use_Disorder_Services,441,0.12913616398243044,0.034420855448017484,5.380327442839322,0.12913616398243044,True
Individuals_Receiving_DHS_Services,Individuals_Receiving_Substance_Use_Disorder_Services,10372,0.12629989527775748,0.8095535435529191,5.2621571807189875,0.8095535435529191,False
Individuals_Receiving_Family_Strengthening_Programs,Parents_Receiving_Child_Welfare_Services,202,0.06764902880107167,0.028539135348968635,5.10186266247291,0.06764902880107167,True
Homeless_Population,Jail_Population,218,0.06383601756954611,0.031493787922565734,4.922797217943678,0.06383601756954611,True
Involuntary_Commitments,Jail_Population,303,0.06047904191616767,0.04377347587402485,4.6639196902352476,0.06047904191616767,True
Individuals_Receiving_DHS_Services,Individuals_Receiving_Intellectual_Disability_Services,4494,0.05472346021772485,0.7066037735849057,4.5929761542077525,0.7066037735849057,False
Children_in_Care,Individuals_Receiving_Mental_Health_Services,1001,0.44747429593205185,0.01811338508586215,4.322265018081417,0.44747429593205185,True
Jail_Population,Mental_Health_Crises,404,0.058364634498699795,0.05576259489302968,4.30020476615203,0.058364634498699795,True
Jail_Population,Parents_Receiving_Child_Welfare_Services,385,0.05561976307425599,0.05439389658095507,4.194655822163715,0.05561976307425599,True
Children_in_Care,Mental_Health_Crises,125,0.05587840858292356,0.01725327812284334,4.117023964548794,0.05587840858292356,True
Individuals_Receiving_Mental_Health_Services,Individuals_Receiving_Substance_Use_Disorder_Services,5278,0.09550693954363679,0.41195753980643146,3.979199876791584,0.41195753980643146,False
